name,status,institution,field,freq,impact,annual,total,hits,href
법과정책,KCI 등재,제주대학교 법과정책연구원,기타법학,연3회,0.83,발행논문 : 연간 31건,총 논문 : 529건,정책,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000003250&sereSearBean.sereId=SER000011681
법과정책 (Law & Policy Review),KCI 등재,제주대학교 법과정책연구원,기타법학,연3회,0.83,발행논문 : 연간 31건,총 논문 : 529건,정책,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000003250&sereSearBean.sereId=SER000011681
한국항공우주법학회지 (Korean journal of air and space law),KCI 등재,한국항공우주정책⋅법학회,기타법학,연4회,0.43,발행논문 : 연간 18건,총 논문 : 405건,정책,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000001241&sereSearBean.sereId=001781
한국항공우주정책？법학회지 (The Korean Journal of Air & Space Law and Policy),KCI 등재,한국항공우주정책⋅법학회,기타법학,연4회,0.43,발행논문 : 연간 18건,총 논문 : 405건,정책,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000001241&sereSearBean.sereId=001781
항공우주정책 ·법학회지 (The Korean Journal of Air & Space Law and Policy),KCI 등재,한국항공우주정책⋅법학회,기타법학,연4회,0.43,발행논문 : 연간 18건,총 논문 : 405건,정책,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000001241&sereSearBean.sereId=001781
미래사회 (Journal of Future Society),KCI 등재,서울사이버대학교 미래사회전략연구소,기타사회과학,연3회,1.54,발행논문 : 연간 16건,총 논문 : 196건,전략;사이버,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000008618&sereSearBean.sereId=SER000003132
미래사회 (Journal of the Future of Society),KCI 등재,서울사이버대학교 미래사회전략연구소,기타사회과학,연3회,1.54,발행논문 : 연간 16건,총 논문 : 196건,전략;사이버,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000008618&sereSearBean.sereId=SER000003132
부동산정책연구 (Journal of Real Estate Policy Research),KCI 등재,한국부동산정책학회,기타사회과학,연3회,0.42,발행논문 : 연간 19건,총 논문 : 206건,정책,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000000407&sereSearBean.sereId=SER000008872
사이버인간과학연구 (Human Science Research Joural),,대구사이버대학교 교육연구소,기타사회과학,연2회,0,발행논문 : 연간 0건,총 논문 : 0건,사이버,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000011448&sereSearBean.sereId=SER000004042
사회와 안전 (Society & Security),,울산대학교 경비원교육센터,기타사회과학,연2회,0,발행논문 : 연간 0건,총 논문 : 0건,안전,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000008989&sereSearBean.sereId=SER000002769
사회적기업과 정책연구 (Social Enterprise & Policy Studies),,충북대학교 사회과학연구소,기타사회과학,연2회,0,발행논문 : 연간 0건,총 논문 : 0건,정책,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000003312&sereSearBean.sereId=SER000003200
한국청소년연구 (Studies on Korean Youth),KCI 등재,한국청소년정책연구원,기타사회과학,연4회,4.25,발행논문 : 연간 32건,총 논문 : 801건,정책,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000002616&sereSearBean.sereId=001385
민주사회와 정책연구,,한신대학교 민주사회정책연구원,기타사회과학일반,연2회,0,발행논문 : 연간 17건,총 논문 : 202건,정책,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000004652&sereSearBean.sereId=001870
통일연구 (Korean Unification Studies),,연세대학교 국가관리연구원,기타사회과학일반,연2회,0,발행논문 : 연간 9건,총 논문 : 36건,통일,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000004825&sereSearBean.sereId=SER000002246
평화들 PEACES (PEACES),KCI 후보,강원대학교 통일강원연구원,기타사회과학일반,연2회,0.24,발행논문 : 연간 9건,총 논문 : 46건,통일,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000060195&sereSearBean.sereId=SER000006447
비판사회정책 (Journal of Critical Social Welfare),KCI 등재,비판과 대안을 위한 사회복지학회/ 건강정책학회,기타사회복지학,연4회,1.72,발행논문 : 연간 32건,총 논문 : 537건,정책,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000001990&sereSearBean.sereId=SER000010228
상황과복지 (Journal of Critical Social Welfare),KCI 등재,비판과 대안을 위한 사회복지학회/ 건강정책학회,기타사회복지학,연4회,1.72,발행논문 : 연간 32건,총 논문 : 537건,정책,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000001990&sereSearBean.sereId=SER000010228
한국보훈논총 (Joural of Patriots and Veterans Affairs in the Republic Korea),KCI 등재,한국보훈학회,기타사회학,연4회,0.57,발행논문 : 연간 20건,총 논문 : 359건,보훈,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000000403&sereSearBean.sereId=SER000008866
한국보훈논총 (Journal of Patriots and Veterans Affairs in the Republic of Korea),KCI 등재,한국보훈학회,기타사회학,연4회,0.57,발행논문 : 연간 20건,총 논문 : 359건,보훈,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000000403&sereSearBean.sereId=SER000008866
정책개발연구 (Journal of Policy Development),KCI 등재,한국정책개발학회,기타정책학,연2회,0.97,발행논문 : 연간 15건,총 논문 : 234건,정책;국정,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000008154&sereSearBean.sereId=SER000002203
대테러연구 (The counter Terrorism Research),,경찰대학 국제대테러연구센터,기타정치외교학,연1회,0,발행논문 : 연간 0건,총 논문 : 0건,경찰;테러,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000071274&sereSearBean.sereId=SER000006038
경호경비연구 (Korean Security Science Review),KCI 등재,한국보안관리학회,기타행정학,연4회,0.98,발행논문 : 연간 46건,총 논문 : 915건,행정,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000000883&sereSearBean.sereId=001904
국정관리연구 (Journal of Governance Studies),KCI 등재,성균관대학교 국정전문대학원,기타행정학,연4회,0.97,발행논문 : 연간 19건,총 논문 : 325건,행정;국정,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000007809&sereSearBean.sereId=SER000001525
시큐리티연구 (Korean Security Journal),KCI 등재,한국보안관리학회,기타행정학,연4회,0.98,발행논문 : 연간 46건,총 논문 : 915건,행정,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000000883&sereSearBean.sereId=001904
통일채비 (Preparation for Unification),,백범통일연구소,기타행정학,연2회,0,발행논문 : 연간 0건,총 논문 : 0건,행정;통일,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000072907&sereSearBean.sereId=SER000006211
한국경호경비학회지 (Korean Security Science Review),KCI 등재,한국보안관리학회,기타행정학,연4회,0.98,발행논문 : 연간 46건,총 논문 : 915건,행정,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000000883&sereSearBean.sereId=001904
한국정책연구 (The Journal of Korean Policy Studies),KCI 등재,경인행정학회,기타행정학,연4회,1.93,발행논문 : 연간 37건,총 논문 : 695건,행정;정책;국정,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000000061&sereSearBean.sereId=SER000008612
한국지방자치연구 (KOREAN LOCAL GOVERNMENT REVIEW),KCI 등재,대한지방자치학회,기타행정학,연4회,0.8,발행논문 : 연간 32건,총 논문 : 641건,행정;자치;지방,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000000100&sereSearBean.sereId=001865
한국이민행정학회보 (Journal of The Korean Association for Immigration Administration),KCI 후보,한국이민행정학회,난민/이민,연2회,0,발행논문 : 연간 10건,총 논문 : 31건,행정,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000072912&sereSearBean.sereId=SER000006209
농업경영.정책연구 (Korean Journal of Agricultural Management and Policy),KCI 등재,한국농식품정책학회,농업경제학,연4회,0.51,발행논문 : 연간 40건,총 논문 : 996건,정책,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000001133&sereSearBean.sereId=000650
농업경영·정책연구 (Korea Journal of Agricultural Management and Policy),,한국축산경영학회,농업경제학,연4회,0.51,발행논문 : 연간 0건,총 논문 : 0건,정책,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000001230&sereSearBean.sereId=SER000009548
지역과인구 (Regional and Population Studies),,전북대학교 지방자치연구소,도시/지방행정,연2회,0,발행논문 : 연간 0건,총 논문 : 0건,행정;자치;지방,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000003224&sereSearBean.sereId=SER000006835
한국자치행정학보 (Korean Journal of Local Government & Administration Studies),KCI 등재,한국자치행정학회,도시/지방행정,연4회,1.49,발행논문 : 연간 57건,"총 논문 : 1,075건",행정;자치;지방,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000002071&sereSearBean.sereId=002097
도시부동산정책연구 (Policy Review for Urban Planning and Real Estate),,중앙대학교 도시부동산연구소,도시개발/계획,연1회,0,발행논문 : 연간 0건,총 논문 : 0건,정책,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000010733&sereSearBean.sereId=SER000004057
도시정책연구 (Journal of Urban Policies),KCI 등재,한국도시부동산학회,도시개발/계획,연4회,0.52,발행논문 : 연간 24건,총 논문 : 242건,정책,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000010738&sereSearBean.sereId=SER000004224
Trade&Security,,무역안보관리원,무역학일반,연2회,0,발행논문 : 연간 0건,총 논문 : 0건,안보,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000056910&sereSearBean.sereId=SER000006434
Journal of the Korean Welfare State and Social Policy,,연세대학교 복지국가연구센터,문화/사회/보건복지정책,연2회,0,발행논문 : 연간 0건,총 논문 : 0건,정책,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000062565&sereSearBean.sereId=SER000005652
건강고령사회연구,,건국대학교 건강고령사회연구원,문화/사회/보건복지정책,연2회,0,발행논문 : 연간 0건,총 논문 : 0건,정책,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000070723&sereSearBean.sereId=SER000006640
보건과 복지 (Health & Welfare),KCI 등재,한국보건복지학회,문화/사회/보건복지정책,연4회,1.63,발행논문 : 연간 16건,총 논문 : 459건,정책,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000000399&sereSearBean.sereId=SER000004893
보건복지 (The Korean Society of Health and Welfare),,원광대학교 장수과학연구소,문화/사회/보건복지정책,연4회,0,발행논문 : 연간 0건,총 논문 : 0건,정책,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000059461&sereSearBean.sereId=SER000005661
보훈연구,,한국보훈복지의료공단보훈교육,문화/사회/보건복지정책,연2회,0,발행논문 : 연간 0건,총 논문 : 0건,정책;보훈,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000051170&sereSearBean.sereId=SER000005891
유산학 연구 (The Korean Journal of Heritage Studies),KCI 후보,한국전통문화대학교 문화자원경영연구소,문화/사회/보건복지정책,연2회,0,발행논문 : 연간 5건,총 논문 : 10건,정책,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000059907&sereSearBean.sereId=SER000006710
미디어와 정책 (Korean Journal of Media and Policy),KCI 후보,한국미디어정책학회,미디어산업,연2회,0,발행논문 : 연간 4건,총 논문 : 14건,정책,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000074071&sereSearBean.sereId=SER000006313
보호관찰 (Korean Journal of Probation),KCI 등재,한국보호관찰학회,법정책학,연2회,0.85,발행논문 : 연간 13건,총 논문 : 209건,정책,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000000402&sereSearBean.sereId=SER000008864
사법 (JURIS),KCI 등재,사법발전재단,법정책학,연4회,1.38,발행논문 : 연간 45건,총 논문 : 903건,정책,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000008130&sereSearBean.sereId=SER000001788
4차산업혁명 법과 정책,,4차산업혁명융합법학회,법학,연2회,0,발행논문 : 연간 0건,총 논문 : 0건,정책;법과 정책,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000072121&sereSearBean.sereId=SER000006598
경제규제와 법,KCI 등재,서울대학교 법학연구소,법학,연2회,2.88,발행논문 : 연간 13건,총 논문 : 215건,규제,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000003032&sereSearBean.sereId=SER000003131
경찰법연구 (Jorunal of Police & Law),KCI 등재,한국경찰법학회,법학,연3회,1.36,발행논문 : 연간 21건,총 논문 : 393건,경찰,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000000296&sereSearBean.sereId=002089
경찰법연구 (Journal of Police & Law),KCI 등재,한국경찰법학회,법학,연3회,1.36,발행논문 : 연간 21건,총 논문 : 393건,경찰,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000000296&sereSearBean.sereId=002089
경찰학연구 (The Journal of Police Science),KCI 등재,경찰대학 경찰대학,법학,연4회,1.39,발행논문 : 연간 28건,총 논문 : 731건,경찰,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000002389&sereSearBean.sereId=002075
법과정책연구 (Journal of Law and Politics research),KCI 등재,한국법정책학회,법학,연4회,1.12,발행논문 : 연간 45건,"총 논문 : 1,028건",정책,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000000395&sereSearBean.sereId=001579
변호사 (Seoul Bar Association Law Journal),KCI 후보,서울지방변호사회,법학,연1회,0,발행논문 : 연간 7건,총 논문 : 22건,지방,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000002242&sereSearBean.sereId=SER000010445
비교법학 (Comparative Law Review),,부산외국어대학교 사회안전연구소,법학,연1회,0,발행논문 : 연간 0건,총 논문 : 0건,안전,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000004339&sereSearBean.sereId=SER000001466
입법정책 (legislation and policies),,한국입법정책학회,법학,연2회,0,발행논문 : 연간 0건,총 논문 : 0건,정책;입법,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000002281&sereSearBean.sereId=SER000010479
입법학연구 (Journal of Legislation Studies),KCI 등재,한국입법학회,법학,연2회,0.92,발행논문 : 연간 17건,총 논문 : 188건,입법,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000002158&sereSearBean.sereId=SER000004602
정보법학 (Journal of Korea Infomation Law),KCI 등재,한국정보법학회,법학,연3회,2.45,발행논문 : 연간 19건,총 논문 : 378건,국정,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000000551&sereSearBean.sereId=002147
지방자치법연구 (Local Government Law Journal),KCI 등재,한국지방자치법학회,법학,연4회,2.08,발행논문 : 연간 36건,총 논문 : 792건,자치;지방,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000000572&sereSearBean.sereId=001664
행정법연구 (Administrative Law Journal),KCI 등재,행정법이론실무학회,법학,연3회,1.87,발행논문 : 연간 31건,총 논문 : 768건,행정,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000000661&sereSearBean.sereId=001312
행정법연구(行政法硏究) (Administrative Law Journal),KCI 등재,행정법이론실무학회,법학,연3회,1.87,발행논문 : 연간 31건,총 논문 : 768건,행정,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000000661&sereSearBean.sereId=001312
형사정책연구 (Korean Criminological Review),KCI 등재,한국형사법무정책연구원,법학,연4회,2.06,발행논문 : 연간 38건,총 논문 : 959건,정책,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000002577&sereSearBean.sereId=000901
환경법과 정책 (Environmental Law and Policy),KCI 등재,강원대학교 비교법학연구소,법학,연3회,1.14,발행논문 : 연간 14건,총 논문 : 261건,정책;법과 정책,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000002657&sereSearBean.sereId=SER000001109
법정책논총,,대진대학교 미래융합법연구소,법학일반,부정기,0,발행논문 : 연간 0건,총 논문 : 0건,정책,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000010978&sereSearBean.sereId=SER000003923
Journal of North Korea Studies (Journal of North Korea Studies),KCI 등재,고려대학교세종캠퍼스 공공정책연구소,북한,연2회,0.63,발행논문 : 연간 11건,총 논문 : 125건,정책;공공;북한,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000009668&sereSearBean.sereId=SER000004406
Journal of Peace and Unification (Journal of Peace and Unification),KCI 등재,이화여자대학교 통일학연구원,북한,연4회,0.08,발행논문 : 연간 13건,총 논문 : 152건,북한;통일,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000004975&sereSearBean.sereId=SER000004161
NORTH KOREAN REVIEW (NORTH KOREAN REVIEW),,연세대학교 통일연구원,북한,연2회,0,발행논문 : 연간 0건,총 논문 : 0건,북한;통일,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000010176&sereSearBean.sereId=SER000003522
북한학보 (Journal of North Korean Studies),KCI 등재,북한연구소,북한,연2회,0.38,발행논문 : 연간 11건,총 논문 : 168건,북한,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000000195&sereSearBean.sereId=SER000008703
북한학연구,KCI 등재,동국대학교 북한학연구소,북한,연2회,0.81,발행논문 : 연간 14건,총 논문 : 225건,북한,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000004507&sereSearBean.sereId=SER000014018
한백통일경제연구 (Hanbaek Journal of Unification Economic Research),KCI 후보,한라대학교 동북아경제연구원,북한경제및통일연구,연1회,0,발행논문 : 연간 5건,총 논문 : 5건,북한;통일,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000061612&sereSearBean.sereId=SER000006718
북한도시 브리프,,숭실대학교 숭실평화통일연구원,북한사회및통일연구,연6회,0,발행논문 : 연간 0건,총 논문 : 0건,북한;통일,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000062540&sereSearBean.sereId=SER000006506
통일과 평화 (Journal of Peace and Unification Studies),KCI 등재,서울대학교 통일평화연구원,북한사회및통일연구,연2회,0.94,발행논문 : 연간 17건,총 논문 : 220건,북한;통일,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000007503&sereSearBean.sereId=SER000003021
통일과평화 (Journal of Peace and Unification Studies),KCI 등재,서울대학교 통일평화연구원,북한사회및통일연구,연2회,0.94,발행논문 : 연간 17건,총 논문 : 220건,북한;통일,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000007503&sereSearBean.sereId=SER000003021
통일사회복지연구,,통일사회복지학회,북한사회및통일연구,연2회,0,발행논문 : 연간 0건,총 논문 : 0건,북한;통일,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000061448&sereSearBean.sereId=SER000005573
평화통일연구 (Peaceful Unification Research),,총신대학교 평화통일연구소,북한사회및통일연구,연2회,0,발행논문 : 연간 0건,총 논문 : 0건,북한;통일,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000060584&sereSearBean.sereId=SER000005629
지역과 통일,,대진대학교 대진평화통일교육연구원,북한정치/통일,연2회,0,발행논문 : 연간 0건,총 논문 : 0건,북한;통일,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000070594&sereSearBean.sereId=SER000006017
채비,,단국대학교(천안캠퍼스) 백범통일연구소,북한정치/통일,연2회,0,발행논문 : 연간 0건,총 논문 : 0건,북한;통일,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000073044&sereSearBean.sereId=SER000006358
통일과 담론,,국립평화통일민주교육원,북한정치/통일,연2회,0,발행논문 : 연간 0건,총 논문 : 0건,북한;통일,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000081439&sereSearBean.sereId=SER000006922
통일연구 (KOREAN UNIFICATION STUDIES),KCI 등재,연세대학교 통일연구원,북한정치/통일,연2회,1.41,발행논문 : 연간 9건,총 논문 : 122건,북한;통일,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000010176&sereSearBean.sereId=SER000003517
통일전략 (Unification Stratrgy),,한국통일전략학회,북한정치/통일,연4회,0,발행논문 : 연간 24건,총 논문 : 415건,전략;북한;통일,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000000609&sereSearBean.sereId=001912
평화연구(平和硏究) (PEACE RESEARCH),,경북대학교 평화문제연구소,북한정치/통일,연1회,0,발행논문 : 연간 0건,총 논문 : 0건,북한;통일,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000002721&sereSearBean.sereId=SER000004101
한반도연구 (The Korean Peninsula Studies),,북한통일학대학원연구협의회,북한정치/통일,연1회,0,발행논문 : 연간 0건,총 논문 : 0건,북한;통일,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000010004&sereSearBean.sereId=SER000003463
현대북한연구 (North Korean Studies Review),KCI 등재,북한대학원대학교 심연북한연구소,북한정치/통일,연3회,1.41,발행논문 : 연간 18건,총 논문 : 265건,북한;통일,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000009652&sereSearBean.sereId=SER000003282
현대북한연구 (Review of North Korean Studies),KCI 등재,북한대학원대학교 심연북한연구소,북한정치/통일,연3회,1.41,발행논문 : 연간 18건,총 논문 : 265건,북한;통일,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000009652&sereSearBean.sereId=SER000003282
국제법무,KCI 등재,제주대학교 법과정책연구원,비교법학,연2회,0.38,발행논문 : 연간 17건,총 논문 : 303건,정책,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000003250&sereSearBean.sereId=SER000001012
국제법무 (International Law Review),KCI 등재,제주대학교 법과정책연구원,비교법학,연2회,0.38,발행논문 : 연간 17건,총 논문 : 303건,정책,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000003250&sereSearBean.sereId=SER000001012
Disastronomy (Disastronomy),,(사)위기관리이론과실천,사회과학,연2회,0,발행논문 : 연간 0건,총 논문 : 0건,위기,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000007795&sereSearBean.sereId=SER000004932
복지행정논총 (Journal of Welfare Administration),,한국복지행정학회,사회과학,연2회,0,발행논문 : 연간 0건,총 논문 : 0건,행정,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000000783&sereSearBean.sereId=SER000009157
유아교육.보육행정연구 (Journal of Early Childhood Education & Educare Administration),KCI 등재,한국유아교육ㆍ보육복지학회,사회과학교육,연4회,2.52,발행논문 : 연간 43건,총 논문 : 864건,행정,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000001538&sereSearBean.sereId=002073
Asian Journal of Peacebuilding (Asian Journal of Peacebuilding),KCI 등재,서울대학교 통일평화연구원,사회과학일반,연2회,0.37,발행논문 : 연간 14건,총 논문 : 200건,통일,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000007503&sereSearBean.sereId=SER000004541
Journal of Public Value(공공가치연구) (Journal of Public Value),,국제공공가치학회,사회과학일반,연3회,0,발행논문 : 연간 0건,총 논문 : 0건,공공,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000071010&sereSearBean.sereId=SER000006490
가족정책연구,KCI 등재,한국가족정책학회,사회과학일반,연2회,0,발행논문 : 연간 9건,총 논문 : 34건,정책,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000069128&sereSearBean.sereId=SER000006220
공공사회연구 (Journal of Public Society),KCI 등재,한국공공사회학회,사회과학일반,연4회,1.08,발행논문 : 연간 25건,총 논문 : 350건,공공,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000008693&sereSearBean.sereId=SER000002738
공공외교: 이론과 실천 (Public Diplomacy: Theory and Practice),KCI 등재,한국공공외교학회,사회과학일반,연2회,0.33,발행논문 : 연간 6건,총 논문 : 34건,공공,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000074101&sereSearBean.sereId=SER000006321
